Name,eo3__Type__c,eo3__Value__c,External_Identifier__c,Application__c,Central_Air_in_Home__c,Cooling_Type__c,Equipment_Category__c,Existing_Insulation__c,Facility_Type__c,Home_Type__c,Pipe_Diameter__c,Replacement__c,State__c,Year__c,Zone__c,CreatedDate,eo3__Valid_From__c,eo3__Valid_To__c,eo3__Search_Pairs__c,eo3__Measure_Type__c,,County_list
B03_2 - Cooling,Cooling Hours,338,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Education - Primary,,,,MN,,MN2,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Cass MN1
B03_2 - Cooling,Cooling Hours,289,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Education - Primary,,,,MN,,MN1,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Chippewa MN3
B03_2 - Cooling,Cooling Hours,473,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Education - Secondary,,,,MN,,MN2,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Chisago MN3
B03_2 - Cooling,Cooling Hours,563,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Education - Secondary,,,,MN,,MN3,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Clay MN2
B03_2 - Cooling,Cooling Hours,484,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Education - Secondary,,,,MN,,MN1,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Clearwater MN1
B03_2 - Cooling,Cooling Hours,558,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Health/Medical - Clinic,,,,MN,,MN1,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Cook MN1
B03_2 - Cooling,Cooling Hours,865,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Health/Medical - Clinic,,,,MN,,MN3,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Cottonwood MN3
B03_2 - Cooling,Cooling Hours,738,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Health/Medical - Clinic,,,,MN,,MN2,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Crow Wing MN2
B03_2 - Cooling,Cooling Hours,"1,089",P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Health/Medical - Hospital,,,,MN,,MN2,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Dakota MN3
B03_2 - Cooling,Cooling Hours,663,P_Cooling_Hrs_mc4__c,,FALSE,,,FALSE,Health/Medical - Hospital,,,,MN,,MN1,2017-02-04T16:13:38.000+0000,2017-01-01,2029-12-31,"F_Equip_Building_Type__c=Facility_Type__c,F_County_to_Zone_MC4__c=zone__c","Cooling Centrifugal v3,Cooling Centrifugal v3-MN,Cool EER-SEER,MN ERV v2,Cooling PTAC mc4,Cooling VFD Retrofit v3,Cooling FLV IPLV mc4,Cooling MSHP,Cooling MSAC,Cooling WSHP,Cooling FLV IPLV CO mc4,Cooling VFD Retrofit v4,Cool EER-SEER - MS,Cool SEER - MN",,Dodge MN3
