F_Measure_Type_Name__c,F_Equipment_Name_Proposed__c,I_EER_MC04__c,P_Cooling_Hrs_mc4__c,i_Qty_Prop_Equip_mc__c,i_SEER_MC04__c,i_unit_cooling_BTUH__c,i_unit_cooling_tons_mc__c,County__c,Customer_Therms__c,Customer_kW__c,Customer_kWh__c,Electric_Rebate__c,F_COOL_SEER_Cost__c,F_COOL_SEER_MN_PCkW__c,F_COOL_SEER_MN_Rebate__c,F_COOL_SEER_MN_kW__c,F_Centrifugal_Chiller_PCkW__c,F_Centrifugal_Chiller_Rebate__c,F_Centrifugal_Chiller_kW__c,F_Centrifugal_Chiller_kWh__c,F_Cool_Cost_mc4__c,F_Cool_EER_SEER_MC_PCKW__c,F_Cool_EER_SEER_MC_Rebate__c,F_Cool_EER_SEER_MC_kW__c,F_Cool_EER_SEER_MC_kWh__c,F_Cool_FLV_IPLV_mc4_Rebate__c,F_County_Zone__c,F_County_to_Zone_MC4__c,F_Equip_Building_Type__c,F_MSHP_EER_Eff__c,F_MSHP_EER_Std__c,F_MSHP_Total_kWh__c,F_MSHP_Total_v3_kWh__c,F_Measure_Name__c,F_Mini_Split_Cool_PCkW__c,F_Mini_Split_Cooling_kW__c,F_Net_Gen_kW__c,F_Net_Gen_kWh__c,F_Net_Therms__c,F_Products_Name__c,F_Program_Name__c,F_VFD_Chiller_mc4_PCkW__c,F_VFD_Chiller_mc4_Rebate__c,F_VFD_Chiller_mc4_kW__c,F_VFD_Chiller_mc4_kWh__c,F_kAdj_Value__c,F_k_Adj_2012__c,F_k_Adj_2015__c,Gas_Rebate__c,I_AHRI__c,I_EER__c,I_Invoice_Cost__c,I_Mark_Seg__c,I_Qty_Prop_Equip__c,I_SEER_IEER__c,I_Unit_Tons__c,Increm_Electric_Capital_Cost__c,Increm_Gas_Capital_Cost__c,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,Line_Item_Number__c,Measure_Name__c,Online_Application_Measure__c,PC_kW_Customer__c,Uncapped_Electric_Rebate__c,Uncapped_Gas_Rebate__c,Units_Electric__c,Units_Gas__c,county__c,eo3__Completion_Date__c,eo3__Eligible_Equipment_Type_1__c,AF_Date__c,Name,i_Facility_Type__c
Cool EER-SEER,MN - RTUS - 5.42 - 11.24 tons,12,446,1,14.3,,9.25,,,0.841,958,1304.25,1387.5,0.756818182,1045.25,0.840909091,,,,,1387.5,0.756818182,1304.25,0.840909091,958.2205295,462.5,MN1,MN3,Office-Low Rise (<25k SF 1-2 Story),12,,,,DX Units >= 5.42 Tons,,,0.82336,1026.25,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,462.5,0,0,,0,0,,TRUE,,,,1,,,1387.5,,005U0000000HtWKIA0,1.61483E+12,,,1,DX Units >= 5.42 Tons,,0.757,1304.25,0,1,0,Hennepin MN3,2021-02-15,,2021-06-02,OID4482075-0001,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,,563,3,15,,3.63,,,1.577,755,969.21,2504.7,1.419149321,969.21,1.576832579,,,,,2504.7,,969.21,,754.5932308,544.5,MN1,MN3,Education - Secondary,,,,,DX Units < 5.42 Tons,,,1.5434,808.78,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,544.5,0,0,,0,0,,TRUE,,,,3,,,2504.7,,005U0000000HtWKIA0,1.61483E+12,,,1,DX Units < 5.42 Tons,,1.419,969.21,0,3,0,Wabasha MN3,2021-03-02,Cool EER-SEER,2021-12-16,OID4482153-0001,Education - Secondary
Cool SEER - MN,MN - RTUS < 5.42 tons,11.5,574,1,14,,3,Wright MN3,,0.127,114,177,690,0.114735392,177,0.127483769,,,,,690,0.114735392,177,0.127483769,113.5384615,150,MN3,MN3,Retail - Strip Mall,11.5,,,,DX Units < 5.42 Tons,,,0.12508,122.12,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,150,0,0,,0,0,,TRUE,,31029,,1,,,690,,005U0000000HtWKIA0,1.61483E+12,,,1,DX Units < 5.42 Tons,a5Q4O000000vt91UAA,0.115,177,0,1,0,Wright MN3,2021-01-28,Cool EER-SEER,2021-05-31,OID4482371-0001,Retail - Strip Mall
Cool EER-SEER,MN - RTUS - 11.25 - 19.99 tons,12.5,446,4,19.7,,15,Stearns MN3,,9.067,12892,20040,8400,8.16,16680,9.066666667,,,,,8400,8.16,20040,9.066666667,12892.21966,3000,MN3,MN3,Office-Low Rise (<25k SF 1-2 Story),12.5,,,,DX Units >= 5.42 Tons,,,8.87535,13810.39,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,3000,0,0,,0,0,,TRUE,,89665,,4,,,8400,,005U0000000HtWKIA0,1.61475E+12,,,1,DX Units >= 5.42 Tons,a5Q4O000000vt4BUAQ,8.16,20040,0,4,0,Stearns MN3,2021-03-01,,2021-05-30,OID4481778-0001,Office-Low Rise (<25k SF 1-2 Story)
Cool EER-SEER,MN - RTUS - 11.25 - 19.99 tons,12.5,446,4,19.7,,15,Stearns MN3,,9.067,12892,20040,8400,8.16,16680,9.066666667,,,,,8400,8.16,20040,9.066666667,12892.21966,3000,MN3,MN3,Office-Low Rise (<25k SF 1-2 Story),12.5,,,,DX Units >= 5.42 Tons,,,8.87535,13810.39,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,3000,0,0,,0,0,,TRUE,,89665,,4,,,8400,,005U0000000HtWKIA0,1.61475E+12,,,2,DX Units >= 5.42 Tons,a5Q4O000000vt4CUAQ,8.16,20040,0,4,0,Stearns MN3,2021-03-01,,2021-05-30,OID4481778-0002,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,12.7,865,2,17.1,,5,,,1.411,1914,1520,2300,1.269818648,1520,1.410909609,,,,,2300,1.269818648,1520,1.410909609,1914.439946,500,MN1,MN3,Health/Medical - Clinic,12.7,,,,DX Units < 5.42 Tons,,,1.38134,2050.35,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,500,0,0,,0,0,,TRUE,,,,2,,,2300,,005U0000000HtWKIA0,1.61475E+12,,,1,DX Units < 5.42 Tons,,1.27,1520,0,2,0,Washington MN3,2020-12-16,Cool EER-SEER,2021-05-07,OID4465659-0001,Health/Medical - Clinic
Cool SEER - MN,MN - RTUS < 5.42 tons,12.8,865,1,17.6,,4.08,,,0.606,851,681.36,938.4,0.545192308,681.36,0.605769231,,,,,938.4,0.545192308,681.36,0.605769231,851.4503497,204,MN1,MN3,Health/Medical - Clinic,12.8,,,,DX Units < 5.42 Tons,,,0.59278,911.62,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,204,0,0,,0,0,,TRUE,,,,1,,,938.4,,005U0000000HtWKIA0,1.61475E+12,,,2,DX Units < 5.42 Tons,,0.545,681.36,0,1,0,Washington MN3,2020-12-16,Cool EER-SEER,2021-05-07,OID4465659-0002,Health/Medical - Clinic
Cool SEER - MN,MN - RTUS < 5.42 tons,,446,1,14,,1.92,,,0.149,56,113.28,441.6,0.134040078,113.28,0.14893342,,,,,441.6,,113.28,,56.46065934,96,MN1,MN3,Office-Low Rise (<25k SF 1-2 Story),,,,,DX Units < 5.42 Tons,,,0.14575,59.99,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,96,0,0,,0,0,,TRUE,,9425,,1,,,441.6,,005U0000000HtWKIA0,1.61475E+12,,,1,DX Units < 5.42 Tons,,0.134,113.28,0,1,0,Hennepin MN3,2020-12-21,Cool EER-SEER,2021-08-26,OID4481825-0001,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,12.2,865,1,14.5,,2.87,,,0.294,237,212.38,660.1,0.264412136,212.38,0.293791262,,,,,660.1,0.264412136,212.38,0.293791262,237.0604775,143.5,MN1,MN3,Health/Medical - Clinic,12.2,,,,DX Units < 5.42 Tons,,,0.28714,253.88,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,143.5,0,0,,0,0,,TRUE,,,,1,,,660.1,,005U0000000HtWKIA0,1.61475E+12,,,1,DX Units < 5.42 Tons,,0.264,212.38,0,1,0,Stearns MN3,2020-10-20,Cool EER-SEER,2021-10-02,OID4481979-0001,Health/Medical - Clinic
Cool EER-SEER,MN - RTUS - 5.42 - 11.24 tons,12.5,754,2,13,,7.5,,,1.964,1678,1830,5700,1.767272727,1110,1.963636364,,,,,5700,1.767272727,1830,1.963636364,1677.857143,750,MN1,MN3,Lodging,12.5,,,,DX Units >= 5.42 Tons,,,1.92191,1797.54,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,750,0,0,,0,0,,TRUE,,27042,,2,,,5700,,005U0000000HtWKIA0,1.6144E+12,,,1,DX Units >= 5.42 Tons,,1.767,1830,0,2,0,Ramsey MN3,2020-12-09,,2021-06-24,OID4480907-0001,Lodging
