,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
221,201954081,Active,trane,"R(A,X)03000(F,4,5)2**A*(0.1)*",,SP-A,378000.0,11.1,14.4,9000.0
222,201954083,Active,trane,"RE030(A,B,C)A(F,4,5)2**A*(0,1)*",,SP-A,376000.0,11.1,14.2,9000.0
223,201954085,Active,trane,"RF030(1,2,3)(1,2,3,4)(F,4,5)2**A*(0,1)*",,SPY-A,376000.0,10.9,13.9,9000.0
224,201954090,Active,trane,"R(A,X)04000(F,4,5)1**A*(0,1)*",,SP-A,460000.0,10.3,11.7,12600.0
225,201954092,Active,trane,"RE040(B,C,D,E)A(F,4,5)1**A*(0,1)*",,SP-A,460000.0,10.2,11.7,12600.0
226,201954094,Active,trane,"RF040(2,3,4)(1,2,3,4)(F,4,5)1**A*(0,1)*",,SPY-A,460000.0,10.0,11.5,12600.0
227,201954096,Active,trane,"R(A,X)04000(F,4,5)2**A*(0.1)*",,SP-A,490000.0,11.2,13.7,12000.0
228,201954098,Active,trane,"RE040(B,C,D,E)A(F,4,5)2**A*(0,1)*",,SP-A,490000.0,11.1,13.4,12000.0
229,201954100,Active,trane,"RF040(2,3,4)(1,2,3,4)(F,4,5)2**A*(0,1)*",,SPY-A,485000.0,10.9,13.0,12000.0
230,201954105,Active,trane,"R(A,X)05000(F,4,5)1**A*(0,1)*",,SP-A,565000.0,10.3,11.7,14500.0
231,201954107,Active,trane,"RE050(B,C,D,E)A(F,4,5)1**A*(0,1)*",,SP-A,565000.0,10.1,11.7,14500.0
232,201954109,Active,trane,"RF050(2,3,4)(1,2,3,4)(F,4,5)1**A*(0,1)*",,SPY-A,560000.0,9.9,11.5,14500.0
233,201954111,Active,trane,"R(A,X)05000(F,4,5)2**A*(0.1)*",,SP-A,560000.0,11.2,13.6,13000.0
234,201954113,Active,trane,"RE050(B,C,D,E)A(F,4,5)2**A*(0,1)*",,SP-A,560000.0,11.1,13.2,13000.0
235,201954115,Active,trane,"RF050(2,3,4)(1,2,3,4)(F,4,5)2**A*(0,1)*",,SPY-A,560000.0,10.9,12.7,13000.0
236,201954123,Active,trane,"R(A,X)05500(F,4,5)1**A*(0,1)*",,SP-A,605000.0,10.3,11.7,15125.0
237,201954125,Active,trane,"RE055(B,C,D,E)A(F,4,5)1**A*(0,1)*",,SP-A,605000.0,10.1,11.7,15125.0
238,201954127,Active,trane,"RF055(2,3,4)(1,2,3,4)(F,4,5)1**A*(0,1)*",,SPY-A,600000.0,9.9,11.5,15125.0
239,201954129,Active,trane,"R(A,X)05500(F,4,5)2**A*(0.1)*",,SP-A,585000.0,11.1,13.9,12375.0
240,201954131,Active,trane,"RE055(B,C,D,E)A(F,4,5)2**A*(0,1)*",,SP-A,580000.0,11.0,13.6,12375.0
241,201954133,Active,trane,"RF055(2,3,4)(1,2,3,4)(F,4,5)2**A*(0,1)*",,SPY-A,580000.0,10.8,13.1,12375.0
242,201954135,Active,trane,"R(A,X)06000(F,4,5)1**A*(0,1)*",,SP-A,675000.0,10.4,11.7,17400.0
243,201954137,Active,trane,"RE060(C,D,E,F)A(F,4,5)1**A*(0,1)*",,SP-A,675000.0,10.2,11.7,17400.0
244,201954139,Active,trane,"RF060(3,4)(1,2,3,4)(F,4,5)1**A*(0,1)*",,SPY-A,670000.0,9.9,11.5,17400.0
245,201954141,Active,trane,"R(A,X)06000(F,4,5)2**A*(0.1)*",,SP-A,705000.0,11.3,13.3,16500.0
246,201954143,Active,trane,"RE060(C,D,E,F)A(F,4,5)2**A*(0,1)*",,SP-A,705000.0,11.1,12.8,16500.0
247,201954145,Active,trane,"RF060(3,4)(1,2,3,4)(F,4,5)2**A*(0,1)*",,SPY-A,700000.0,10.8,12.1,16500.0
248,201977917,Active,rheem,RACDZS120AY*****A,,SPY-A,114000.0,11.2,12.9,3480.0
249,201977918,Active,ruud,RACDZS120AY*****A,,SPY-A,114000.0,11.2,12.9,3480.0
0,201978164,Active,trane,"WSC102H(3,4,W)*(G,K,N)A",,HSP-A,100000.0,11.0,12.2,3315.0
1,201978165,Active,american standard,"WSC102H(3,4,W)*(G,K,N)A",,HSP-A,100000.0,11.0,12.2,3315.0
2,201978166,Active,trane,"WSC102H(3,4,W)*(G,K,N)A***6",,HSP-A,100000.0,11.0,13.4,3315.0
3,201978167,Active,american standard,"WSC102H(3,4,W)*(G,K,N)A***6",,HSP-A,100000.0,11.0,13.4,3315.0
4,201978168,Active,trane,"WSC102H(3,4,W)*(G,K,N)A***7",,HSP-A,100000.0,11.0,12.9,3315.0
5,201978169,Active,american standard,"WSC102H(3,4,W)*(G,K,N)A***7",,HSP-A,100000.0,11.0,12.9,3315.0
