,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
0,3243059,Active,rheem,RAWL-150D,RHGL-180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
1,3243060,Active,rheem,RAWL-150Y,RHGL-180Y,RCU-A-CB,146000.0,10.18,12.0,5000.0
2,3243064,Active,rheem,RAWL-240C,RHGL-240Z,RCU-A-CB,224000.0,8.99,11.6,6900.0
3,3243065,Active,rheem,RAWL-240D,RHGL-240Z,RCU-A-CB,214000.0,8.99,11.6,6900.0
4,3243066,Active,rheem,RAWL-240Y,RHGL-240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
7,3314945,Active,daikin,RCS12F150C,MHGL180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
8,3314946,Active,ruud,RAWL-150C,RHGL-180Z,RCU-A-CB,142000.0,11.0,12.4,5000.0
9,3314950,Active,daikin,RCS12F150D,MHGL180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
10,3314951,Active,ruud,RAWL-150D,RHGL-180Z,RCU-A-CB,146000.0,11.1,14.6,5000.0
11,3314955,Active,daikin,RCS12F150Y,MHGL180Y,RCU-A-CB,146000.0,10.18,12.0,5000.0
12,3314956,Active,ruud,RAWL-150Y,RHGL-180Y,RCU-A-CB,146000.0,11.1,14.6,5000.0
13,3314960,Active,daikin,RCS15F180C,MHGL180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
14,3314961,Active,ruud,RAWL-180C,RHGL-180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
15,3314965,Active,daikin,RCS15F180D,MHGL180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
16,3314966,Active,ruud,RAWL-180D,RHGL-180Z,RCU-A-CB,174000.0,11.0,13.0,5100.0
17,3314970,Active,daikin,RCS15F180Y,MHGL180Y,RCU-A-CB,174000.0,10.28,13.0,5100.0
18,3314971,Active,ruud,RAWL-180Y,RHGL-180Y,RCU-A-CB,174000.0,11.0,13.0,5100.0
19,3314975,Active,daikin,RCS20F240C,MHGL240Z,RCU-A-CB,224000.0,8.99,11.6,6900.0
20,3314976,Active,ruud,RAWL-240C,RHGL-240Z,RCU-A-CB,240000.0,10.0,11.6,6900.0
21,3314980,Active,daikin,RCS20F240D,MHGL240Z,RCU-A-CB,214000.0,8.99,11.6,6900.0
22,3314981,Active,ruud,RAWL-240D,RHGL-240Z,RCU-A-CB,240000.0,10.0,11.6,6900.0
23,3314985,Active,daikin,RCS20F240Y,MHGL240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
24,3314986,Active,ruud,RAWL-240Y,RHGL-240Y,RCU-A-CB,240000.0,10.0,11.6,6900.0
25,3316015,Active,rheem,RLNL-B180C,,SPY-A,172000.0,11.0,12.4,5900.0
26,3316016,Active,rheem,RLNL-B180D,,SPY-A,172000.0,11.0,12.4,5900.0
27,3316017,Active,rheem,RLNL-B180Y,,SPY-A,172000.0,11.0,12.4,5900.0
32,3316022,Active,rheem,RLNL-B300D,,SPY-A,290000.0,10.0,11.6,9700.0
33,3316023,Active,rheem,RLNL-B300Y,,SPY-A,290000.0,10.0,11.6,9700.0
34,3324856,Active,daikin,MPSO15BGC,,SPY-A,172000.0,10.8,12.2,5900.0
35,3324857,Active,ruud,RKNL-B180C,,SPY-A,172000.0,10.8,12.2,5900.0
36,3324861,Active,daikin,MPS015BGD,,SPY-A,172000.0,10.8,12.2,5900.0
37,3324862,Active,ruud,RKNL-B180D,,SPY-A,172000.0,10.8,12.2,5900.0
38,3324864,Active,daikin,MPS015BGY,,SPY-A,172000.0,10.8,12.2,5900.0
39,3324865,Active,ruud,RKNL-B180Y,,SPY-A,172000.0,10.8,12.2,5900.0
46,3324881,Active,ruud,RKNL-B300C,,SPY-A,286000.0,9.8,11.4,8350.0
47,3324885,Active,daikin,MPS025BGD,,SPY-A,286000.0,9.8,11.4,8350.0
48,3324886,Active,ruud,RKNL-B300D,,SPY-A,286000.0,9.8,11.4,8350.0
49,3324888,Active,daikin,MPS025BGY,,SPY-A,286000.0,9.8,11.4,8350.0
50,3324889,Active,ruud,RKNL-B300Y,,SPY-A,286000.0,9.8,11.4,8350.0
51,3324892,Active,daikin,MPS015BYC,,SPY-A,172000.0,11.0,12.4,5900.0
52,3324893,Active,ruud,RLNL-B180C,,SPY-A,172000.0,11.0,12.4,5900.0
53,3324897,Active,daikin,MPS015BYD,,SPY-A,172000.0,11.0,12.4,5900.0
54,3324898,Active,ruud,RLNL-B180D,,SPY-A,172000.0,11.0,12.4,5900.0
55,3324900,Active,daikin,MPS015BYL,,SPY-A,172000.0,11.0,12.4,5900.0
56,3324901,Active,ruud,RLNL-B180Y,,SPY-A,172000.0,11.0,12.4,5900.0
60,3324916,Active,ruud,RLNL-B300C,,SPY-A,290000.0,10.0,11.6,9700.0
61,3324920,Active,daikin,MPS025BYD,,SPY-A,290000.0,10.0,11.6,9700.0
62,3324921,Active,ruud,RLNL-B300D,,SPY-A,290000.0,10.0,11.6,9700.0
63,3324923,Active,daikin,MPS025BYY,,SPY-A,290000.0,10.0,11.6,9700.0
64,3324924,Active,ruud,RLNL-B300Y,,SPY-A,290000.0,10.0,11.6,9700.0
80,3561326,Active,aaon,RN-009-2-*-CA**-***:********,,SPY-A,95000.0,12.1,13.9,3400.0
81,3561327,Active,aaon,RN-009-3-*-CA**-***:********,,SPY-A,95000.0,12.1,13.9,3400.0
82,3561328,Active,aaon,RN-009-4-*-CA**-***:********,,SPY-A,95000.0,12.1,13.9,3400.0
83,3561329,Active,aaon,RN-009-8-*-CA**-***:********,,SPY-A,95000.0,12.1,13.9,3400.0
84,3561330,Active,aaon,RN-009-2-*-CA**-000:********,,SP-A,95000.0,12.2,13.9,3400.0
85,3561331,Active,aaon,RN-009-3-*-CA**-000:********,,SP-A,95000.0,12.2,13.9,3400.0
86,3561332,Active,aaon,RN-009-4-*-CA**-000:********,,SP-A,95000.0,12.2,13.9,3400.0
87,3561333,Active,aaon,RN-009-8-*-CA**-000:********,,SP-A,95000.0,12.2,13.9,3400.0
88,3561334,Active,aaon,RN-009-2-*-CB**-***:********,,SPY-A,105000.0,13.2,15.0,3400.0
89,3561335,Active,aaon,RN-009-3-*-CB**-***:********,,SPY-A,105000.0,13.2,15.0,3400.0
90,3561336,Active,aaon,RN-009-4-*-CB**-***:********,,SPY-A,105000.0,13.2,15.0,3400.0
91,3561337,Active,aaon,RN-009-8-*-CB**-***:********,,SPY-A,105000.0,13.2,15.0,3400.0
92,3561338,Active,aaon,RN-009-2-*-CB**-000:********,,SP-A,105000.0,13.3,15.0,3400.0
93,3561339,Active,aaon,RN-009-3-*-CB**-000:********,,SP-A,105000.0,13.3,15.0,3400.0
94,3561340,Active,aaon,RN-009-4-*-CB**-000:********,,SP-A,105000.0,13.3,15.0,3400.0
95,3561341,Active,aaon,RN-009-8-*-CB**-000:********,,SP-A,105000.0,13.3,15.0,3400.0
96,3561342,Active,aaon,RN-009-2-*-BA**-***:********,,SPY-A,96000.0,12.6,14.4,3400.0
97,3561343,Active,aaon,RN-009-3-*-BA**-***:********,,SPY-A,96000.0,12.6,14.4,3400.0
98,3561344,Active,aaon,RN-009-4-*-BA**-***:********,,SPY-A,96000.0,12.6,14.4,3400.0
99,3561345,Active,aaon,RN-009-8-*-BA**-***:********,,SPY-A,96000.0,12.6,14.4,3400.0
100,3561346,Active,aaon,RN-009-2-*-BA**-000:********,,SP-A,96000.0,12.7,14.4,3400.0
101,3561347,Active,aaon,RN-009-3-*-BA**-000:********,,SP-A,96000.0,12.7,14.4,3400.0
102,3561348,Active,aaon,RN-009-4-*-BA**-000:********,,SP-A,96000.0,12.7,14.4,3400.0
103,3561349,Active,aaon,RN-009-8-*-BA**-000:********,,SP-A,96000.0,12.7,14.4,3400.0
104,3561350,Active,aaon,RN-009-2-*-BB**-***:********,,SPY-A,106000.0,13.8,15.7,3400.0
105,3561351,Active,aaon,RN-009-3-*-BB**-***:********,,SPY-A,106000.0,13.8,15.7,3400.0
106,3561352,Active,aaon,RN-009-4-*-BB**-***:********,,SPY-A,106000.0,13.8,15.7,3400.0
107,3561353,Active,aaon,RN-009-8-*-BB**-***:********,,SPY-A,106000.0,13.8,15.7,3400.0
108,3561354,Active,aaon,RN-009-2-*-BB**-000:********,,SP-A,106000.0,13.9,15.7,3400.0
109,3561355,Active,aaon,RN-009-3-*-BB**-000:********,,SP-A,106000.0,13.9,15.7,3400.0
110,3561356,Active,aaon,RN-009-4-*-BB**-000:********,,SP-A,106000.0,13.9,15.7,3400.0
111,3561357,Active,aaon,RN-009-8-*-BB**-000:********,,SP-A,106000.0,13.9,15.7,3400.0
112,3561358,Active,aaon,RN-011-2-*-CA**-***:********,,SPY-A,113000.0,11.2,13.2,3600.0
113,3561359,Active,aaon,RN-011-3-*-CA**-***:********,,SPY-A,113000.0,11.2,13.2,3600.0
114,3561360,Active,aaon,RN-011-4-*-CA**-***:********,,SPY-A,113000.0,11.2,13.2,3600.0
115,3561361,Active,aaon,RN-011-8-*-CA**-***:********,,SPY-A,113000.0,11.2,13.2,3600.0
116,3561362,Active,aaon,RN-011-2-*-CA**-000:********,,SP-A,113000.0,11.3,13.2,3600.0
117,3561363,Active,aaon,RN-011-3-*-CA**-000:********,,SP-A,113000.0,11.3,13.2,3600.0
118,3561364,Active,aaon,RN-011-4-*-CA**-000:********,,SP-A,113000.0,11.3,13.2,3600.0
119,3561365,Active,aaon,RN-011-8-*-CA**-000:********,,SP-A,113000.0,11.3,13.2,3600.0
120,3561366,Active,aaon,RN-011-2-*-CB**-***:********,,SPY-A,126000.0,12.1,14.4,3600.0
121,3561367,Active,aaon,RN-011-3-*-CB**-***:********,,SPY-A,126000.0,12.1,14.4,3600.0
122,3561368,Active,aaon,RN-011-4-*-CB**-***:********,,SPY-A,126000.0,12.1,14.4,3600.0
123,3561369,Active,aaon,RN-011-8-*-CB**-***:********,,SPY-A,126000.0,12.1,14.4,3600.0
124,3561370,Active,aaon,RN-011-2-*-CB**-000:********,,SP-A,126000.0,12.2,14.4,3600.0
125,3561371,Active,aaon,RN-011-3-*-CB**-000:********,,SP-A,126000.0,12.2,14.4,3600.0
126,3561372,Active,aaon,RN-011-4-*-CB**-000:********,,SP-A,126000.0,12.2,14.4,3600.0
127,3561373,Active,aaon,RN-011-8-*-CB**-000:********,,SP-A,126000.0,12.2,14.4,3600.0
128,3561374,Active,aaon,RN-011-2-*-BA**-***:********,,SPY-A,122000.0,12.2,14.6,3600.0
129,3561375,Active,aaon,RN-011-3-*-BA**-***:********,,SPY-A,122000.0,12.2,14.6,3600.0
130,3561376,Active,aaon,RN-011-4-*-BA**-***:********,,SPY-A,122000.0,12.2,14.6,3600.0
131,3561377,Active,aaon,RN-011-8-*-BA**-***:********,,SPY-A,122000.0,12.2,14.6,3600.0
132,3561378,Active,aaon,RN-011-2-*-BA**-000:********,,SP-A,122000.0,12.3,14.6,3600.0
133,3561379,Active,aaon,RN-011-3-*-BA**-000:********,,SP-A,122000.0,12.3,14.6,3600.0
134,3561380,Active,aaon,RN-011-4-*-BA**-000:********,,SP-A,122000.0,12.3,14.6,3600.0
135,3561381,Active,aaon,RN-011-8-*-BA**-000:********,,SP-A,122000.0,12.3,14.6,3600.0
136,3561382,Active,aaon,RN-011-2-*-BB**-***:********,,SPY-A,128000.0,12.7,15.0,3600.0
137,3561383,Active,aaon,RN-011-3-*-BB**-***:********,,SPY-A,128000.0,12.7,15.0,3600.0
138,3561384,Active,aaon,RN-011-4-*-BB**-***:********,,SPY-A,128000.0,12.7,15.0,3600.0
139,3561385,Active,aaon,RN-011-8-*-BB**-***:********,,SPY-A,128000.0,12.7,15.0,3600.0
140,3561386,Active,aaon,RN-011-2-*-BB**-000:********,,SP-A,128000.0,12.8,15.0,3600.0
141,3561387,Active,aaon,RN-011-3-*-BB**-000:********,,SP-A,128000.0,12.8,15.0,3600.0
142,3561388,Active,aaon,RN-011-4-*-BB**-000:********,,SP-A,128000.0,12.8,15.0,3600.0
143,3561389,Active,aaon,RN-011-8-*-BB**-000:********,,SP-A,128000.0,12.8,15.0,3600.0
144,3561390,Active,aaon,RN-013-2-*-CA**-***:********,,SPY-A,146000.0,11.5,12.6,3800.0
145,3561391,Active,aaon,RN-013-3-*-CA**-***:********,,SPY-A,146000.0,11.5,12.6,3800.0
146,3561392,Active,aaon,RN-013-4-*-CA**-***:********,,SPY-A,146000.0,11.5,12.6,3800.0
147,3561393,Active,aaon,RN-013-8-*-CA**-***:********,,SPY-A,146000.0,11.5,12.6,3800.0
148,3561394,Active,aaon,RN-013-2-*-CA**-000:********,,SP-A,146000.0,11.6,12.6,3800.0
149,3561395,Active,aaon,RN-013-3-*-CA**-000:********,,SP-A,146000.0,11.6,12.6,3800.0
150,3561396,Active,aaon,RN-013-4-*-CA**-000:********,,SP-A,146000.0,11.6,12.6,3800.0
151,3561397,Active,aaon,RN-013-8-*-CA**-000:********,,SP-A,146000.0,11.6,12.6,3800.0
152,3561398,Active,aaon,RN-013-2-*-CB**-***:********,,SPY-A,154000.0,12.1,13.1,3800.0
153,3561399,Active,aaon,RN-013-3-*-CB**-***:********,,SPY-A,154000.0,12.1,13.1,3800.0
154,3561400,Active,aaon,RN-013-4-*-CB**-***:********,,SPY-A,154000.0,12.1,13.1,3800.0
155,3561401,Active,aaon,RN-013-8-*-CB**-***:********,,SPY-A,154000.0,12.1,13.1,3800.0
156,3561402,Active,aaon,RN-013-2-*-CB**-000:********,,SP-A,154000.0,12.2,13.1,3800.0
157,3561403,Active,aaon,RN-013-3-*-CB**-000:********,,SP-A,154000.0,12.2,13.1,3800.0
158,3561404,Active,aaon,RN-013-4-*-CB**-000:********,,SP-A,154000.0,12.2,13.1,3800.0
159,3561405,Active,aaon,RN-013-8-*-CB**-000:********,,SP-A,154000.0,12.2,13.1,3800.0
160,3561406,Active,aaon,RN-013-2-*-BA**-***:********,,SPY-A,152000.0,12.1,13.3,3800.0
161,3561407,Active,aaon,RN-013-3-*-BA**-***:********,,SPY-A,152000.0,12.1,13.3,3800.0
162,3561408,Active,aaon,RN-013-4-*-BA**-***:********,,SPY-A,152000.0,12.1,13.3,3800.0
163,3561409,Active,aaon,RN-013-8-*-BA**-***:********,,SPY-A,152000.0,12.1,13.3,3800.0
164,3561410,Active,aaon,RN-013-2-*-BA**-000:********,,SP-A,152000.0,12.2,13.3,3800.0
165,3561411,Active,aaon,RN-013-3-*-BA**-000:********,,SP-A,152000.0,12.2,13.3,3800.0
166,3561412,Active,aaon,RN-013-4-*-BA**-000:********,,SP-A,152000.0,12.2,13.3,3800.0
167,3561413,Active,aaon,RN-013-8-*-BA**-000:********,,SP-A,152000.0,12.2,13.3,3800.0
168,3561414,Active,aaon,RN-013-2-*-BB**-***:********,,SPY-A,156000.0,12.3,13.4,3800.0
169,3561415,Active,aaon,RN-013-3-*-BB**-***:********,,SPY-A,156000.0,12.3,13.4,3800.0
170,3561416,Active,aaon,RN-013-4-*-BB**-***:********,,SPY-A,156000.0,12.3,13.4,3800.0
171,3561417,Active,aaon,RN-013-8-*-BB**-***:********,,SPY-A,156000.0,12.3,13.4,3800.0
172,3561418,Active,aaon,RN-013-2-*-BB**-000:********,,SP-A,156000.0,12.4,13.4,3800.0
173,3561419,Active,aaon,RN-013-3-*-BB**-000:********,,SP-A,156000.0,12.4,13.4,3800.0
174,3561420,Active,aaon,RN-013-4-*-BB**-000:********,,SP-A,156000.0,12.4,13.4,3800.0
175,3561421,Active,aaon,RN-013-8-*-BB**-000:********,,SP-A,156000.0,12.4,13.4,3800.0
176,3561422,Active,aaon,RN-015-2-*-CA**-***:********,,SPY-A,174000.0,11.0,12.4,4200.0
177,3561423,Active,aaon,RN-015-3-*-CA**-***:********,,SPY-A,174000.0,11.0,12.4,4200.0
178,3561424,Active,aaon,RN-015-4-*-CA**-***:********,,SPY-A,174000.0,11.0,12.4,4200.0
179,3561425,Active,aaon,RN-015-8-*-CA**-***:********,,SPY-A,174000.0,11.0,12.4,4200.0
180,3561426,Active,aaon,RN-015-2-*-CA**-000:********,,SP-A,174000.0,11.1,12.4,4200.0
181,3561427,Active,aaon,RN-015-3-*-CA**-000:********,,SP-A,174000.0,11.1,12.4,4200.0
182,3561428,Active,aaon,RN-015-4-*-CA**-000:********,,SP-A,174000.0,11.1,12.4,4200.0
183,3561429,Active,aaon,RN-015-8-*-CA**-000:********,,SP-A,174000.0,11.1,12.4,4200.0
184,3561430,Active,aaon,RN-015-2-*-CB**-***:********,,SPY-A,180000.0,11.3,12.6,4200.0
185,3561431,Active,aaon,RN-015-3-*-CB**-***:********,,SPY-A,180000.0,11.3,12.6,4200.0
186,3561432,Active,aaon,RN-015-4-*-CB**-***:********,,SPY-A,180000.0,11.3,12.6,4200.0
187,3561433,Active,aaon,RN-015-8-*-CB**-***:********,,SPY-A,180000.0,11.3,12.6,4200.0
188,3561434,Active,aaon,RN-015-2-*-CB**-000:********,,SP-A,180000.0,11.4,12.6,4200.0
189,3561435,Active,aaon,RN-015-3-*-CB**-000:********,,SP-A,180000.0,11.4,12.6,4200.0
190,3561436,Active,aaon,RN-015-4-*-CB**-000:********,,SP-A,180000.0,11.4,12.6,4200.0
191,3561437,Active,aaon,RN-015-8-*-CB**-000:********,,SP-A,180000.0,11.4,12.6,4200.0
192,3561438,Active,aaon,RN-015-2-*-BA**-***:********,,SPY-A,176000.0,11.4,12.7,4200.0
193,3561439,Active,aaon,RN-015-3-*-BA**-***:********,,SPY-A,176000.0,11.4,12.7,4200.0
194,3561440,Active,aaon,RN-015-4-*-BA**-***:********,,SPY-A,176000.0,11.4,12.7,4200.0
195,3561441,Active,aaon,RN-015-8-*-BA**-***:********,,SPY-A,176000.0,11.4,12.7,4200.0
196,3561442,Active,aaon,RN-015-2-*-BA**-000:********,,SP-A,176000.0,11.5,12.7,4200.0
197,3561443,Active,aaon,RN-015-3-*-BA**-000:********,,SP-A,176000.0,11.5,12.7,4200.0
198,3561444,Active,aaon,RN-015-4-*-BA**-000:********,,SP-A,176000.0,11.5,12.7,4200.0
199,3561445,Active,aaon,RN-015-8-*-BA**-000:********,,SP-A,176000.0,11.5,12.7,4200.0
200,3561446,Active,aaon,RN-015-2-*-BB**-***:********,,SPY-A,182000.0,11.6,12.9,4200.0
201,3561447,Active,aaon,RN-015-3-*-BB**-***:********,,SPY-A,182000.0,11.6,12.9,4200.0
202,3561448,Active,aaon,RN-015-4-*-BB**-***:********,,SPY-A,182000.0,11.6,12.9,4200.0
203,3561449,Active,aaon,RN-015-8-*-BB**-***:********,,SPY-A,182000.0,11.6,12.9,4200.0
204,3561450,Active,aaon,RN-015-2-*-BB**-000:********,,SP-A,182000.0,11.7,12.9,4200.0
205,3561451,Active,aaon,RN-015-3-*-BB**-000:********,,SP-A,182000.0,11.7,12.9,4200.0
206,3561452,Active,aaon,RN-015-4-*-BB**-000:********,,SP-A,182000.0,11.7,12.9,4200.0
207,3561453,Active,aaon,RN-015-8-*-BB**-000:********,,SP-A,182000.0,11.7,12.9,4200.0
212,3594933,Active,rheem,RLNL-B210C,,SPY-A,200000.0,11.0,12.4,6900.0
213,3594934,Active,rheem,RLNL-B210D,,SPY-A,200000.0,11.0,12.4,6900.0
214,3594936,Active,daikin,MPS017BGC,,SPY-A,200000.0,10.8,12.2,7025.0
215,3594937,Active,ruud,RKNL-B210C,,SPY-A,200000.0,10.8,12.2,6750.0
216,3594938,Active,daikin,MPS017BGD,,SPY-A,200000.0,10.8,12.2,7025.0
217,3594939,Active,ruud,RKNL-B210D,,SPY-A,200000.0,10.8,12.2,6750.0
218,3594940,Active,daikin,MPS017BGY,,SPY-A,200000.0,10.8,12.2,7025.0
219,3594941,Active,ruud,RKNL-B210Y,,SPY-A,200000.0,10.8,12.2,6750.0
220,3594942,Active,daikin,MPS017BYC,,SPY-A,200000.0,11.0,12.4,6900.0
221,3594943,Active,ruud,RLNL-B210C,,SPY-A,200000.0,11.0,12.4,6900.0
222,3594944,Active,daikin,MPS017BYD,,SPY-A,200000.0,11.0,12.4,6900.0
223,3594945,Active,ruud,RLNL-B210D,,SPY-A,200000.0,11.0,12.4,6900.0
224,3594946,Active,daikin,MPS017BY,,SPY-A,200000.0,11.0,12.4,6900.0
225,3594947,Active,ruud,RLNL-B210Y,,SPY-A,200000.0,11.0,12.4,6900.0
226,3634083,Active,aaon,RN-016-2-*-BA**-***:********,,SPY-A,184000.0,12.1,13.6,5300.0
227,3634084,Active,aaon,RN-016-2-*-BA**-000:********,,SP-A,184000.0,12.2,13.6,5300.0
228,3634085,Active,aaon,RN-016-2-*-BB**-***:********,,SPY-A,194000.0,12.6,14.0,5300.0
229,3634086,Active,aaon,RN-016-2-*-BB**-000:********,,SP-A,194000.0,12.7,14.0,5300.0
230,3634087,Active,aaon,RN-016-2-*-BQ**-***:********,,SPY-A,190000.0,12.1,13.2,5300.0
231,3634088,Active,aaon,RN-016-2-*-BQ**-000:********,,SP-A,190000.0,12.2,13.2,5300.0
232,3634089,Active,aaon,RN-016-3-*-BA**-***:********,,SPY-A,184000.0,12.1,13.6,5300.0
233,3634090,Active,aaon,RN-016-3-*-BA**-000:********,,SP-A,184000.0,12.2,13.6,5300.0
234,3634091,Active,aaon,RN-016-3-*-BB**-***:********,,SPY-A,194000.0,12.6,14.0,5300.0
235,3634092,Active,aaon,RN-016-3-*-BB**-000:********,,SP-A,194000.0,12.7,14.0,5300.0
236,3634093,Active,aaon,RN-016-3-*-BQ**-***:********,,SPY-A,190000.0,12.1,13.2,5300.0
237,3634094,Active,aaon,RN-016-3-*-BQ**-000:********,,SP-A,190000.0,12.2,13.2,5300.0
238,3634095,Active,aaon,RN-016-4-*-BA**-***:********,,SPY-A,184000.0,12.1,13.6,5300.0
239,3634096,Active,aaon,RN-016-4-*-BA**-000:********,,SP-A,184000.0,12.2,13.6,5300.0
240,3634097,Active,aaon,RN-016-4-*-BB**-***:********,,SPY-A,194000.0,12.6,14.0,5300.0
241,3634098,Active,aaon,RN-016-4-*-BB**-000:********,,SP-A,194000.0,12.7,14.0,5300.0
242,3634099,Active,aaon,RN-016-4-*-BQ**-***:********,,SPY-A,190000.0,12.1,13.2,5300.0
243,3634100,Active,aaon,RN-016-4-*-BQ**-000:********,,SP-A,190000.0,12.2,13.2,5300.0
244,3634101,Active,aaon,RN-016-8-*-BA**-***:********,,SPY-A,184000.0,12.0,13.6,5300.0
245,3634102,Active,aaon,RN-016-8-*-BA**-000:********,,SP-A,184000.0,12.1,13.6,5300.0
246,3634103,Active,aaon,RN-016-8-*-BB**-***:********,,SPY-A,194000.0,12.5,14.0,5300.0
247,3634104,Active,aaon,RN-016-8-*-BB**-000:********,,SP-A,194000.0,12.6,14.0,5300.0
248,3634105,Active,aaon,RN-016-8-*-BQ**-***:********,,SPY-A,190000.0,12.0,13.2,5300.0
249,3634106,Active,aaon,RN-016-8-*-BQ**-000:********,,SP-A,190000.0,12.1,13.2,5300.0
0,8235037,Active,carrier corporation,"48P4*055******(2,3)**(1,3)*",,SPY-A,575000.0,10.0,12.2,16500.0
1,8235134,Active,carrier corporation,"48P5*055******(2,3)**(1,3)*",,SPY-A,575000.0,10.0,12.6,16500.0
2,8235184,Active,carrier corporation,"48P4*055******(2,3)**(2,4)*",,SPY-A,590000.0,10.2,12.4,16500.0
3,8235185,Active,carrier corporation,"48P5*055******(2,3)**(2,4)*",,SPY-A,590000.0,10.2,12.7,16500.0
4,8235187,Active,carrier corporation,"48P2*070******(2,3)**(1,3)*",,SPY-A,695000.0,9.9,12.7,17500.0
5,8235188,Active,carrier corporation,"48P3*070******(2,3)**(1,3)*",,SPY-A,695000.0,9.9,12.6,17500.0
6,8235190,Active,carrier corporation,"48P2*040******(2,3)**(2,4)*",,SPY-A,440000.0,10.4,12.2,12000.0
7,8235191,Active,carrier corporation,"48P5*040******(2,3)**(1,3)*",,SPY-A,410000.0,9.9,11.9,12000.0
8,8235192,Active,carrier corporation,"48P3*040******(2,3)**(1,3)*",,SPY-A,410000.0,10.0,12.0,12000.0
9,8235193,Active,carrier corporation,"48P3*040******(2,3)**(2,4)*",,SPY-A,440000.0,10.4,12.2,12000.0
10,8235290,Active,carrier corporation,"48P3*030******(2,3)**(1,3)*",,SPY-A,320000.0,9.9,11.6,9000.0
11,8235291,Active,carrier corporation,"48P3*030******(2,3)**(2,4)*",,SPY-A,330000.0,10.1,12.0,9000.0
12,8235365,Active,carrier corporation,"48P4*040******(2,3)**(1,3)*",,SPY-A,410000.0,9.9,11.8,12000.0
13,8235367,Active,carrier corporation,"48P2*040******(2,3)**(1,3)*",,SPY-A,410000.0,10.0,11.9,12000.0
14,8235389,Active,carrier corporation,"50P2A030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
15,8235390,Active,carrier corporation,"50P2E030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
16,8235391,Active,carrier corporation,"50P2S030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
17,8235392,Active,carrier corporation,"50P2Z030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
18,8235393,Active,carrier corporation,"50P24030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
19,8235399,Active,carrier corporation,"50P2B030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
20,8235400,Active,carrier corporation,"50P2F030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
21,8235401,Active,carrier corporation,"50P2T030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
22,8235402,Active,carrier corporation,"50P22030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
23,8235403,Active,carrier corporation,"50P25030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
24,8235409,Active,carrier corporation,"50P2C030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
25,8235410,Active,carrier corporation,"50P2G030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
26,8235411,Active,carrier corporation,"50P2V030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
27,8235412,Active,carrier corporation,"50P23030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
28,8235413,Active,carrier corporation,"50P26030******(2,3)**(1,3)*",,SP-A,322000.0,10.0,11.7,9000.0
29,8235418,Active,carrier corporation,"50P2H030******(2,3)**(1,3)*",,SP-A,322000.0,10.2,11.9,9000.0
30,8235419,Active,carrier corporation,"50P2J030******(2,3)**(1,3)*",,SP-A,322000.0,10.2,11.9,9000.0
31,8235420,Active,carrier corporation,"50P2P030******(2,3)**(1,3)*",,SP-A,322000.0,10.2,11.9,9000.0
32,8235421,Active,carrier corporation,"50P2Y030******(2,3)**(1,3)*",,SP-A,322000.0,10.2,11.9,9000.0
33,8235427,Active,carrier corporation,"50P2A030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
34,8235428,Active,carrier corporation,"50P2E030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
35,8235429,Active,carrier corporation,"50P2S030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
36,8235430,Active,carrier corporation,"50P2Z030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
37,8235431,Active,carrier corporation,"50P24030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
38,8235437,Active,carrier corporation,"50P2B030******(2,3)**(2,4)*",,SP-A,330000.0,10.3,11.9,9000.0
